case,dice,iou,precision,recall
1,0.49330945942816834,0.32741259478603063,0.3844011285738919,0.6883254825898505
10,0.5158830480063918,0.3476026921688554,0.39705804595881067,0.7362012509558895
100,0.5695983698153038,0.39820869733053627,0.5197735029662042,0.6299882949101303
101,0.5629785036735436,0.39176762846815005,0.48249330954508507,0.675691238617652
102,0.48890578745826374,0.32354421279658396,0.3655864690011682,0.7377696072691813
103,0.601096112112423,0.4296907867059651,0.5013908774800913,0.750298429800154
104,0.49444181305218415,0.32841096235183215,0.3739952895435733,0.7293228514842189
105,0.45425176984860965,0.2938717709572558,0.375698736531238,0.5743371489251758
106,0.5397555473248412,0.36963369135628876,0.5515938558097591,0.5284147097216856
107,0.45212665388909246,0.29209538042960986,0.38278866555351576,0.552140962142723
108,0.5119672000213172,0.34405639447509256,0.39757691035398857,0.7187710248935039
109,0.4437250793580611,0.285119983283582,0.3326020719074105,0.666355897401784
11,0.43410698636698825,0.27722646604052076,0.31784566129100783,0.6844729344729794
110,0.5383799911128185,0.36834470508017975,0.435721441598837,0.7043225511772034
111,0.45635481529588773,0.295634527816303,0.3545157780196184,0.640284427928282
112,0.5490253544165912,0.37838383743491244,0.46642231795445,0.6671829446064416
113,0.4955219223837164,0.3293646678912377,0.4197968488922308,0.6045789176733167
114,0.3438363595749643,0.20761013657246324,0.24111494515235876,0.5990459564342789
115,0.541379839344074,0.37115888971440075,0.4249885977544276,0.745567822209459
116,0.48646966695364435,0.32141388668076887,0.4263999078749143,0.5662395570079064
117,0.5269147954475669,0.3576947170599517,0.5002375790693087,0.5565976429122393
118,0.4798150348553222,0.31562937790907303,0.402799293871843,0.5932440588707647
119,0.4986917038633376,0.33217141685465223,0.4411864829902956,0.5734344119642802
12,0.3712252369154644,0.22791686446103368,0.2811074454219981,0.5463865496324161
120,0.46640501631477344,0.3041252881474821,0.3475647060292817,0.7087390999936721
121,0.5012032358608908,0.3344037349512196,0.3830783640337602,0.7246559161873812
122,0.4683930064694193,0.3058180123542844,0.3575110161570646,0.6789779067172832
123,0.4674176667001137,0.3049869860457788,0.35531412696085946,0.6828654215547242
124,0.39388027029601375,0.24523717815771615,0.29649966736608685,0.5865102342437606
125,0.5599346375658465,0.38882584927909175,0.4671189932772898,0.6987810953535687
126,0.5590483526078387,0.3879716252933421,0.47001973124365415,0.6896847449487366
127,0.5200954893831125,0.35143854596831176,0.40663114547973983,0.7213880407657198
128,0.5295382698036534,0.360117001979351,0.411495148841721,0.7425487249981626
129,0.534635695078902,0.36484831333987605,0.47338014755662605,0.614100503110981
13,0.43631673757773565,0.27903140492907313,0.4049835724277411,0.4729049069734273
130,0.49436843134558295,0.32834621805082387,0.38818932568936043,0.6805021037309138
131,0.47674810415981667,0.31298047648047106,0.3929369184275957,0.6060056187537782
