epoch,train_loss,val_loss,val_dice
1,1.63388958076636,1.5285212596257527,0.03143216686634782
2,1.465278521180153,1.4199920535087585,0.09120930333935458
3,1.3595236718654633,1.3092573285102844,0.1894523969541897
4,1.2785105695327124,1.2334648728370667,0.27079959746154736
5,1.2031631042559943,1.1575002908706664,0.3718147054317641
6,1.1642300486564636,1.12348845799764,0.35737668598793615
7,1.0962269137303033,1.0922054509321848,0.32137578396860567
8,1.0648497248689333,1.047019467751185,0.36041959226169484
9,1.0304516106843948,1.0093099157015482,0.3527991773563829
10,0.9960356717308362,0.9860190689563751,0.3755308352346077
11,0.9517734865347545,0.9510907351970672,0.3987682874025367
12,0.9181210592389106,0.8798006196816762,0.5410969803733192
13,0.9092921406030655,0.9160057067871094,0.41955858518729733
14,0.866692179441452,0.8507622241973877,0.5113562737911964
15,0.8391128684083621,0.8528322080771128,0.4388635295140154
16,0.828243014216423,0.8328231871128082,0.4244868566604588
17,0.7786398284137249,0.7828643163045247,0.4710647384337493
18,0.7627286563316981,0.7359474718570709,0.5207166063292112
19,0.7411905301113924,0.7549387613932291,0.461623271307935
20,0.7397759718199571,0.6620265126228333,0.552938228846391
21,0.767562472820282,0.6376744310061137,0.5560550376781822
22,0.701514604439338,0.7672413905461629,0.40689418713443537
23,0.6536977782845497,0.6746628920237223,0.49911119714433333
24,0.6736432952185472,0.618510240316391,0.5711021959797177
25,0.6572632677853107,0.6590877900520961,0.49224241773329147
26,0.6179644090433916,0.5848564813534419,0.5653302008917611
27,0.6658370631436507,0.6898331542809805,0.44677094596949907
28,0.6081191927194596,0.522491243481636,0.60818370680417
29,0.6051963041226069,0.5138080924749374,0.6214478085447085
30,0.5823270466178656,0.5282566368579864,0.586152691649308
31,0.5887929938733578,0.5641465286413828,0.5505365555490109
32,0.5503005959093571,0.6225697606801986,0.46294495165482596
33,0.55438013933599,0.5218397070964177,0.5708172614404613
34,0.588864037891229,0.6176955516139666,0.4860264385766391
35,0.5531963927050432,0.5602562819917997,0.5321946452765977
36,0.5622000560164452,0.6589353362719218,0.4237217709678328
37,0.5151060812175274,0.5231733943025271,0.5619861712071695
38,0.551774243141214,0.5325572644670804,0.5587700660035533
39,0.5081995846082766,0.5749130869905154,0.4935687929424628
40,0.5390067453185717,0.5162462611993154,0.5575841148980064
41,0.5226703122258186,0.4820747340718905,0.5977830678230655
42,0.5201578613370657,0.6836978510022164,0.37429749568753595
43,0.5661840843657653,0.5179958169658979,0.5463427765617765
44,0.5005578820904096,0.5335168932874997,0.5396290627405149
45,0.5740572277456522,0.5655054360628128,0.5095657785753567
46,0.4926840927451849,0.5185699438055357,0.5501136104424741
47,0.4916602797806263,0.5885901386539142,0.4797391856476514
48,0.5499382515748342,0.4211222931742668,0.6467454639579703
49,0.519395608951648,0.5165941218535105,0.5840102541292406
50,0.4979551125317812,0.49377415180206297,0.5703242881076845
